company_id,position_applied,status,afinn_score,positive_words,negative_words,positive_count,negative_count,email_length
Company_A,Junior Data Engineer,rejection,28.0,"{""thank"": 2.0, ""appreciate"": 2.0, ""interest"": 1.0, ""grateful"": 3.0, ""won"": 3.0, ""easy"": 1.0, ""strong"": 2.0, ""impressed"": 3.0, ""please"": 1.0, ""appreciation"": 2.0, ""hope"": 2.0, ""encourage"": 2.0, ""opportunities"": 2.0, ""growing"": 1.0, ""wishing"": 1.0, ""best"": 3.0}","{""sorry"": -1.0, ""lack"": -2.0}",16,2,178
Company_B,Software Role,rejection,28.0,"{""thank"": 2.0, ""interest"": 1.0, ""best"": 3.0, ""competitive"": 2.0, ""great"": 3.0, ""help"": 2.0, ""like"": 2.0, ""beautifully"": 3.0, ""motivation"": 1.0, ""highlight"": 2.0, ""bold"": 2.0, ""matters"": 1.0, ""better"": 2.0, ""good"": 3.0, ""luck"": 3.0, ""dream"": 1.0}","{""hard"": -1.0, ""sorry"": -1.0, ""mistakes"": -2.0, ""no"": -1.0}",16,4,139
Company_C,Junior Analytics Engineer,rejection,19.0,"{""thanks"": 2.0, ""great"": 3.0, ""like"": 2.0, ""good"": 3.0, ""want"": 1.0, ""please"": 1.0, ""wish"": 1.0, ""best"": 3.0}",{},8,0,166
Company_D,Data Analyst (Contractor),rejection,3.0,"{""thanks"": 2.0, ""hopefully"": 2.0}","{""sorry"": -1.0}",2,1,74
Company_E,Full Stack Developer,rejection,6.0,"{""thank"": 2.0, ""interest"": 1.0, ""appreciate"": 2.0}",{},3,0,33
Company_F,Data Engineer - Intern,rejection,28.0,"{""thank"": 2.0, ""interest"": 1.0, ""want"": 1.0, ""carefully"": 2.0, ""impressed"": 3.0, ""happy"": 3.0, ""opportunities"": 2.0, ""better"": 2.0, ""fit"": 1.0, ""please"": 1.0, ""allow"": 1.0, ""wish"": 1.0, ""best"": 3.0, ""hope"": 2.0}","{""disappointing"": -2.0}",14,1,166
Company_G,Junior Project Manager,rejection,12.0,"{""dear"": 2.0, ""thank"": 2.0, ""appreciate"": 2.0, ""hope"": 2.0, ""interest"": 1.0, ""like"": 2.0, ""happy"": 3.0}","{""regret"": -2.0}",7,1,109
Company_H,Customer Services Consultant,rejection,19.0,"{""thank"": 2.0, ""interest"": 1.0, ""better"": 2.0, ""fit"": 1.0, ""impressed"": 3.0, ""like"": 2.0, ""opportunities"": 2.0, ""good"": 3.0, ""luck"": 3.0}",{},9,0,86
Company_I,Frontend Developer,rejection,18.0,"{""thank"": 2.0, ""interest"": 1.0, ""quality"": 2.0, ""fit"": 1.0, ""better"": 2.0, ""appreciate"": 2.0, ""encourage"": 2.0, ""proud"": 2.0, ""wish"": 1.0, ""best"": 3.0}","{""forget"": -1.0}",10,1,135
Company_J,Technical Role,rejection,6.0,"{""fit"": 1.0, ""agreed"": 1.0, ""stronger"": 2.0, ""free"": 1.0, ""want"": 1.0}",{},5,0,95
Company_K,Unknown,rejection,9.0,"{""thank"": 2.0, ""interest"": 1.0, ""good"": 3.0, ""luck"": 3.0}",{},4,0,47
Company_L,Junior Data Engineer Trainee,rejection,11.0,"{""thank"": 2.0, ""join"": 1.0, ""competencies"": 1.0, ""interest"": 1.0, ""wish"": 1.0, ""best"": 3.0, ""luck"": 3.0}","{""forced"": -1.0, ""regret"": -2.0}",7,2,69
Company_M,Software Developer,feedback_rejection,16.0,"{""dear"": 2.0, ""thank"": 2.0, ""focused"": 2.0, ""convinced"": 1.0, ""motivation"": 1.0, ""opportunities"": 2.0, ""strengthen"": 2.0, ""wish"": 1.0, ""best"": 3.0}",{},9,0,85
