company,vader,roberta,positive_sum,negative_sum,net_impact,gap
Company_A,0.9894,0.8253324627876282,2.6652702577994205,-0.5835426351986825,2.081727622600738,0.16406753721237177
Company_B,0.9878,0.1702462434768676,2.458234926307341,-1.299199797300389,1.159035129006952,0.8175537565231324
Company_C,0.9739,-0.1683689355850219,1.0305324372602627,-1.5930326571688056,-0.5625002199085429,1.142268935585022
Company_D,0.3071,-0.2816810011863708,0.8654488404281437,-1.4084221511147916,-0.5429733106866479,0.5887810011863708
Company_E,0.8625,0.8289982080459595,1.386436308734119,-0.5480430424213409,0.838393266312778,0.03350179195404057
Company_F,0.9898,0.8744032979011536,2.6678663237544242,-0.4494872724171728,2.2183790513372514,0.11539670209884645
Company_G,0.9442,-0.0308451279997825,0.962499515269883,-1.3657015999779105,-0.40320208470802754,0.9750451279997825
Company_H,0.9678,0.3498835265636444,1.491278116882313,-1.2257495843805373,0.26552853250177577,0.6179164734363556
Company_I,0.9836,0.9004071354866028,1.9966294535261113,-0.7783184743020684,1.218310979224043,0.08319286451339725
Company_J,0.9313,-0.1975090503692627,1.3165996223688126,-1.6435314752161503,-0.3269318528473377,1.1288090503692627
Company_K,0.886,0.5445913076400757,1.9299909994006157,-0.7999496515840292,1.1300413478165865,0.3414086923599243
Company_L,0.9312,-0.1799081265926361,1.065615313127637,-1.7986702686175704,-0.7330549554899335,1.1111081265926361
Company_M,0.98,0.9206215739250184,2.187529858900234,-0.3731388777960092,1.814390981104225,0.05937842607498156
Company_N,0.9009,-0.0013211816549301,1.3896321987267584,-1.764698790426337,-0.37506659169957857,0.9022211816549301
